2024-03-16 15:49:52.266 INFO  (qtp693267461-27-null-17) [c: s: r: x:n11_restaurants t:null-17] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710604188823} status=0 QTime=6
2024-03-16 15:50:29.495 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/n11_restaurants/conf/managed-schema.xml
2024-03-16 15:50:29.526 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-16 15:50:29.548 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.s.IndexSchema Schema name=default-config
2024-03-16 15:50:29.932 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-16 15:50:29.932 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.CoreContainer Reloading SolrCore 'n11_restaurants' using configuration from instancedir /var/solr/data/n11_restaurants
2024-03-16 15:50:29.987 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/n11_restaurants], dataDir=[/var/solr/data/n11_restaurants/data/]
2024-03-16 15:50:30.055 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-16 15:50:30.055 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-16 15:50:30.067 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/n11_restaurants/conf
2024-03-16 15:50:30.068 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-03-16 15:50:30.070 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-16 15:50:30.071 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:30.071 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-16 15:50:30.086 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:30.151 INFO  (qtp693267461-25-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-03-16 15:50:30.416 INFO  (qtp693267461-25-null-18) [c: s: r: x: t:null-18] o.a.s.c.S.Request webapp=/solr path=/schema params={wt=json&_=1710604188823} status=0 QTime=1293
2024-03-16 15:50:30.417 INFO  (qtp693267461-25-null-18) [c: s: r: x: t:null-18] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@17ff87e0 n11_restaurants
2024-03-16 15:50:30.419 INFO  (qtp693267461-25-null-18) [c: s: r: x: t:null-18] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.n11_restaurants tag=SolrCore@17ff87e0
2024-03-16 15:50:30.424 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:30.431 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.c.SolrCore Registered new searcher autowarm time: 7 ms
2024-03-16 15:50:31.974 INFO  (qtp693267461-20-null-20) [c: s: r: x:n11_restaurants t:null-20] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710604188823} status=0 QTime=0
2024-03-16 15:50:31.977 INFO  (qtp693267461-27-null-19) [c: s: r: x:n11_restaurants t:null-19] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710604188823} status=0 QTime=4
2024-03-16 15:50:32.010 INFO  (qtp693267461-25-null-21) [c: s: r: x:n11_restaurants t:null-21] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710604188823} status=0 QTime=4
2024-03-16 15:50:46.886 INFO  (qtp693267461-24-null-22) [c: s: r: x:n11_restaurants t:null-22] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/n11_restaurants/conf/managed-schema.xml
2024-03-16 15:50:46.962 INFO  (qtp693267461-24-null-22) [c: s: r: x:n11_restaurants t:null-22] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[945dcd89-7357-4ab0-b4e8-4c3a8dc65b70 (1793698558795317248)]} 0 383
2024-03-16 15:50:47.363 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:47.368 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:47.369 INFO  (qtp693267461-25-null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 387
2024-03-16 15:50:47.389 INFO  (qtp693267461-24-null-24) [c: s: r: x:n11_restaurants t:null-24] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[c6f31043-fe5b-43fa-8547-0f6badbb51cc (1793698559297585152)]} 0 13
2024-03-16 15:50:47.690 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:47.695 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:47.696 INFO  (qtp693267461-25-null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 302
2024-03-16 15:50:47.718 INFO  (qtp693267461-24-null-26) [c: s: r: x:n11_restaurants t:null-26] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[724d7acc-7b0e-4bf1-8df3-56f8917d1c8c (1793698559638372352)]} 0 16
2024-03-16 15:50:48.070 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-27) [c: s: r: x:n11_restaurants t:null-27] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:48.076 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-27) [c: s: r: x:n11_restaurants t:null-27] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:48.409 INFO  (qtp693267461-25-null-27) [c: s: r: x:n11_restaurants t:null-27] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 686
2024-03-16 15:50:48.428 INFO  (qtp693267461-24-null-28) [c: s: r: x:n11_restaurants t:null-28] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[4faab766-c6cf-474b-942f-714bc2d9af61 (1793698560386007040)]} 0 14
2024-03-16 15:50:48.626 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-29) [c: s: r: x:n11_restaurants t:null-29] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:48.630 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-29) [c: s: r: x:n11_restaurants t:null-29] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:48.632 INFO  (qtp693267461-25-null-29) [c: s: r: x:n11_restaurants t:null-29] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 199
2024-03-16 15:50:48.649 INFO  (qtp693267461-24-null-30) [c: s: r: x:n11_restaurants t:null-30] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[2fcd8ed3-ba25-4ae6-851e-d1b6f2ca926c (1793698560618790912)]} 0 12
2024-03-16 15:50:48.853 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-31) [c: s: r: x:n11_restaurants t:null-31] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:48.859 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-31) [c: s: r: x:n11_restaurants t:null-31] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:48.860 INFO  (qtp693267461-25-null-31) [c: s: r: x:n11_restaurants t:null-31] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 206
2024-03-16 15:50:48.882 INFO  (qtp693267461-24-null-32) [c: s: r: x:n11_restaurants t:null-32] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[9f2186d6-a32a-4595-9f70-c7c7fa7fee23 (1793698560859963392)]} 0 15
2024-03-16 15:50:49.146 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-33) [c: s: r: x:n11_restaurants t:null-33] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:49.149 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-33) [c: s: r: x:n11_restaurants t:null-33] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:49.151 INFO  (qtp693267461-25-null-33) [c: s: r: x:n11_restaurants t:null-33] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 264
2024-03-16 15:50:49.169 INFO  (qtp693267461-24-null-34) [c: s: r: x:n11_restaurants t:null-34] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[b63d0a77-521b-4785-ba39-6f98de2dc929 (1793698561164050432)]} 0 13
2024-03-16 15:50:49.446 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-35) [c: s: r: x:n11_restaurants t:null-35] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:49.450 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-35) [c: s: r: x:n11_restaurants t:null-35] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:49.451 INFO  (qtp693267461-25-null-35) [c: s: r: x:n11_restaurants t:null-35] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 278
2024-03-16 15:50:49.471 INFO  (qtp693267461-24-null-36) [c: s: r: x:n11_restaurants t:null-36] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[d5d0c646-1bc3-42c1-81cb-96fa323064a6 (1793698561480720384)]} 0 13
2024-03-16 15:50:49.726 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:49.729 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:49.731 INFO  (qtp693267461-25-null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 255
2024-03-16 15:50:49.751 INFO  (qtp693267461-24-null-38) [c: s: r: x:n11_restaurants t:null-38] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[f718117a-9e11-4c6f-ab47-ea95ef144721 (1793698561772224512)]} 0 15
2024-03-16 15:50:50.104 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:50:50.108 INFO  (searcherExecutor-25-thread-1-processing-n11_restaurants null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:50:50.109 INFO  (qtp693267461-25-null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 353
